minutes,dt_created,dt_modified,author,img_file
120,11/29/2021,11/19/2021,빵이,
300,11/30/2021,11/20/2021,빵이,
250,12/01/2021,11/21/2021,빵이,
100,11/22/2021,11/22/2021,빵이,
30,11/23/2021,11/23/2021,빵이,
500,11/24/2021,11/24/2021,빵이,
630,11/25/2021,11/25/2021,빵이,
223,11/26/2021,11/26/2021,빵이,
400,11/27/2021,11/27/2021,빵이,
270,11/20/2021,11/20/2021,파달,
400,11/21/2021,11/21/2021,파달,
90,11/22/2021,11/22/2021,파달,
50,11/23/2021,11/23/2021,파달,
700,11/27/2021,11/24/2021,파달,
100,11/30/2021,11/25/2021,파달,
900,11/29/2021,11/26/2021,파달,
1000,11/27/2021,11/27/2021,파달,
50,12/1/2021,11/23/2021,멍뛰,
900,12/2/2021,11/26/2021,멍뛰,
1000,12/5/2021,11/27/2021,멍뛰,
